ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
1,K001,15K001,P.S. 001 The Bergen,K001,309 47 STREET,K,15,1280,,1,P.S. 001 The Bergen,0,1,0,1,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54
2,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,475,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
3,K002,84K704,EXPLORE CHARTER SCHOOL(BS),K704,655 PARKSIDE AVENUE,K,17,529,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A
4,K002,75K141,P.S. K141,K141,655 PARKSIDE AVENUE,K,17,374,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
5,K002,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,,655 PARKSIDE AVENUE,K,17,1378,655 PARKSIDE AVENUE CONSOLIDATED LOCATION,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,0,3,1,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82
6,K003,13K003,P.S. 003 The Bedford Village,K003,50 JEFFERSON AVENUE,K,13,450,,1,P.S. 003 The Bedford Village,0,0,2,0,0,3C,251-500,0.27,0.90,1.67,0.63,0.44
7,K005,16K005,P.S. 005 Dr. Ronald Mcnair,K005,820 HANCOCK STREET,K,16,231,,1,P.S. 005 Dr. Ronald Mcnair,0,0,2,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32
8,K006,17K006,P.S. 006,K006,43 SNYDER AVENUE,K,17,712,,1,P.S. 006,0,1,2,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53
9,K007,19K007,P.S. 007 Abraham Lincoln,K007,858 JAMAICA AVENUE,K,19,969,,1,P.S. 007 Abraham Lincoln,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
10,K008,13K008,P.S. 008 Robert Fulton,K008,37 HICKS STREET,K,13,924,,1,P.S. 008 Robert Fulton,3,0,0,3,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
11,K009,13K009,P.S. 009 Teunis G. Bergen,K009,80 UNDERHILL AVENUE,K,13,838,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A
12,K009,84K780,BROOKLYN EAST COLLEGIATE CHARTER SCHOOL(BN),K780,80 Underhill Ave,K,13,388,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A
13,K009,,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,,80 UNDERHILL AVENUE,K,13,838,80 UNDERHILL AVENUE CONSOLIDATED LOCATION,2,P.S. 009 Teunis G. Bergen|Brooklyn East Collegiate Charter School|80 UNDERHILL AVENUE CONSOLIDATED LOCATION,0,1,1,1,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
14,K010,15K010,"Magnet School of Math, Science and Design Technolo",K010,511 7 AVENUE,K,15,942,,1,"Magnet School of Math, Science and Design Technolo",0,2,0,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82
