School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Geocode,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2016 - 17,PASSAGES ACADEMY AT BELMONT(BN),X695,K,7,618,,1,211,PS 077K,Brooklyn College Academy,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"560 BROOK AVENUE\n(40.815701, -73.914526)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. Q086,Q086,Q,28,646,,1,746,MS 074Q,P.S. 082 Hammond,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"87 41 PARSONS BOULEVARD\n(41.12133, -72.339742)",11432,40.708898,-73.803938,8,24,448,4438678,4097740001,Briarwood-Jamaica Hills
2016 - 17,P.S. 001 The Bergen,K001,K,15,1334,,1,198,PS 001K,P.S. 001 The Bergen,0,0,1,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"309 47 STREET\n(41.574857, -93.767342)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. 001 Alfred E. Smith,M001,M,2,533,,1,1398,Sunset Park HS,P.S. Q256,0,1,0,0,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"8 HENRY STREET\n(41.398617, -73.465855)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,P.S. 035,M035,M,2,833,,1,663,JHS 056M,James Weldon Johnson,0,1,3,0,1,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"317 WEST 52ND STREET\n(41.799996, -87.633867)",10019,40.763866,-73.985939,4,3,133,1025241,1010430022,Clinton
2016 - 17,The Urban Assembly School for Collaborative Health,K764,K,19,215,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,315,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"999 JAMAICA AVENUE\n(27.783609, -80.501816)",11208,40.691146,-73.868328,5,37,1180,3090738,3040940001,park-cemetery-etc-Brooklyn
2016 - 17,Brooklyn High School of the Arts,K656,K,15,522,345 DEAN STREET CONSOLIDATED LOCATION,2,1226,Academy for Health Careers(Dist.13 Office),The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"345 DEAN STREET\n(31.226762, -84.221511)",11217,40.683559,-73.98027,2,33,39,3001190,3001920013,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2016 - 17,P.S. 183 Robert L. Stevenson,M183,M,2,704,4862 BROADWAY CONSOLIDATED LOCATION,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"419 EAST 66 STREET\n(40.763596, -73.957856)",10065,40.763736,-73.95815,8,5,116,1045569,1014610007,Lenox Hill-Roosevelt Island
2016 - 17,J.H.S. 162 The Willoughby,K162,K,32,414,330 CROWN STREET CONSOLIDATED LOCATION,2,237,PS 160K,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"1390 WILLOUGHBY AVENUE\n(40.70727, -73.919792)",11237,40.707229,-73.919805,4,34,445,3073018,3032120001,Bushwick North
2016 - 17,P.S. 236 Mill Basin,K236,K,22,1262,,1,168,IS 232K,P.S. 235 Lenox School,1,1,1,1,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"6302 AVENUE\n(29.464895, -94.983575)",11234,40.615998,-73.912989,18,46,698,3326821,3084640001,Georgetown-Marine Park-Bergen Beach-Mill Basin
2016 - 17,Professor Juan Bosch Public School,M178,M,6,423,4862 BROADWAY CONSOLIDATED LOCATION,2,619,PS 171M,Amistad Dual Language School |  Muscota |  4862 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"12 18 ELLWOOD STREET\n(40.859393, -73.927875)",10040,40.859243,-73.927792,12,10,283,1064128,1021710036,Washington Heights North
2016 - 17,High School of  Telecommunication Arts and Technol,K485,K,20,1144,400 IRVING AVENUE CONSOLIDATED LOCATION,4,152,GEORGE WINGATE HS,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,1,3,42,3,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"350 67 STREET\n(44.048053, -122.90782)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,The High School for Global Citizenship,K528,K,17,420,883 CLASSON AVENUE CONSOLIDATED LOCATION,4,140,THOMAS JEFFERSON HS,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"883 CLASSON AVENUE\n(40.67009, -73.961805)",11225,40.670349,-73.961695,9,35,213,3029686,3011870001,Crown Heights South
2016 - 17,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,K023,K,14,556,545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,2,59,PS 022K,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"545 WILLOUGHBY AVENUE\n(40.694054, -73.947636)",11206,40.69407,-73.94756,3,36,25901,3048818,3017590013,Bedford
2016 - 17,"Urban Assembly School of Design and Construction,",M300,M,2,199,,1,670,MURRY BERGTRAUM HS,I.S. 528 Bea Fuller Rodgers School,1,0,0,1,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"525 WEST 50TH STREET\n(25.826427, -80.127267)",10019,40.765184,-73.992953,4,3,135,1083802,1010790029,Clinton
2016 - 17,P.S. M079 - Horan School,M079,M,5,508,,1,657,IS 070M,P.S. 076 A. Philip Randolph,0,2,2,2,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,55 EAST 120 STREET,10035,40.802419,-73.942634,11,9,198,1053968,1017470001,East Harlem North
2016 - 17,P.S./I.S. 187 Hudson Cliffs,M187,M,6,591,,1,1070,PS 275M,P.S. 180 Hugo Newman,0,3,1,2,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"349 CABRINI BOULEVARD\n(40.856315, -73.937375)",10040,40.856693,-73.937093,12,10,273,1064371,1021790365,Washington Heights North
2016 - 17,P.S. 295,K295,K,15,331,,1,1067,W. E. B. DU BIOS ACADEMIC HS,P.S. K004,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"330 18 STREET\n(35.375251, -119.00591)",NaN,,,NaN,NaN,NaN,NaN,NaN,
2016 - 17,800 VAN SICLEN AVE CONSOLIDATED LOCATION,K166,K,19,316,800 VAN SICLEN AVE CONSOLIDATED LOCATION,3,100,PS 165K,Van Siclen Community Middle School | Achivement First Brooklyn Academy Charter School |UFT Charter School |800 VAN SICLEN AVE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"800 VAN SICLEN AVE\n(40.660276, -73.885481)",11207,40.66011,-73.885387,5,42,1104,3097675,3043490050,East New York
2016 - 17,5404 TILDEN AVENUE CONSOLIDATED LOCATION,K244,K,18,550,5404 TILDEN AVENUE CONSOLIDATED LOCATION,2,178,JHS 239K,P.S. 244 Richard R. Green|  Brooklyn Science and Engineering Academy|  5404 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"5404 TILDEN AVENUE\n(34.172136, -118.447355)",11203,40.648423,-73.925948,17,45,946,3104513,3047390001,Rugby-Remsen Village
